卦番号,名前,アーキタイプ,中心的課題,取るべき行動,現代解釈の要約,卦のキーワード,平均点,互卦,綜卦（設定する側）,錯卦（設定する側）,初爻変,二爻変,三爻変,四爻変,五爻変,上爻変
1,乾為天,"圧倒的リーダー,創業者,カリスマ",強大すぎる力をどう正しく用い、暴走させずに維持するか,強い意志で前進する。ただし、時機を計り、慢心を戒める,陽のエネルギーが極まり、力強く前進する時。,"創造,リーダーシップ,力",0.57,乾為天,乾為天,坤為地,天風姤,天火同人,天沢履,風天小畜,火天大有,沢天夬
2,坤為地,"優れたサポーター,母,大地,縁の下の力持ち",リーダーをどう支え、物事を育み、安定した基盤を作るか,創造的な力を受け入れ、柔軟にサポートし、地道な努力を継続する,リーダーを支え、物事を育む基盤の役割。,"受容,育成,サポート",0.29,坤為地,坤為地,乾為天,地雷復,地水師,地山謙,雷地豫,水地比,山地剥
3,水雷屯,"スタートアップ,新規事業,人生の転換期",新しい物事を生み出す「産みの苦しみ」をどう乗り越えるか,焦らず、計画を練り直し、信頼できる協力者を求める,新しい物事が生まれようとする、始まりの困難な時期。,"産みの苦しみ,混沌,始まり",-0.67,山地剥,山水蒙,火風鼎,水地比,水沢節,水火既済,風雷益,地雷復,沢雷随
4,山水蒙,"教育,人材育成,新入社員,学生",未熟で先が見えない状況で、いかにして正しい知識と指導を得るか,謙虚に教えを請い、適切な指導者を見極め、基礎から学ぶ,未熟な状態から、正しい指導を得て成長する過程。,"未熟,教育,啓蒙",-0.33,地雷復,水雷屯,沢火革,山沢損,山地剥,山風蠱,風水渙,地水師,火水未済
5,水天需,"戦略的待機,計画準備期間,嵐の前の静けさ",困難を前に、いかにして好機を待ち、その間に準備を整えるか,焦らず耐え忍び、情報収集と自己鍛錬に励む,困難を前に、焦らず、時機が来るのを待つべき時。,"待機,準備,忍耐",0.83,火沢睽,天水訟,火沢睽,水火既済,水沢節,風天小畜,沢天夬,地天泰,水風井
6,天水訟,"訴訟,交渉,派閥争い,ライバル関係",避けられない対立や争いに、どう賢明に対処し、解決するか,感情的にならず、冷静に判断し、時には争いを避ける,異なる意見や利害が衝突する。冷静な対処と、時には争いを避ける知恵が問われる。,"争い,対立,訴訟",0,風火家人,水天需,風火家人,地火明夷,天沢履,天地否,天風姤,風水渙,沢水困
7,地水師,"組織運営,プロジェクトチーム,軍隊",共通の目的のために、いかにして集団を組織し、正しく統率するか,明確な規律を設け、公正なリーダーシップを発揮する,共通の目的のために集団を組織し、統率する。正しい指導力が不可欠。,"組織,規律,リーダーシップ",0,地雷復,水地比,天火同人,地沢臨,坤為地,地風升,雷水解,坎為水,山水蒙
8,水地比,"チームビルディング,パートナーシップ,コミュニティ",いかにして人々と親密になり、信頼に基づいた協力関係を築くか,真心をもって接し、適切なリーダーを中心に結束する,人々が互いに親しみ、協力し合うことで、大きな力を生み出す。,"協力,親密,結束",0.5,山地剥,地水師,火天大有,水雷屯,坎為水,水山蹇,沢地萃,坤為地,風地観
9,風天小畜,"一時的な停滞,準備期間,スキルアップ",小さな障害によって物事が停滞する時、いかにして力を蓄えるか,焦らず、着実に準備を進め、内部の結束を固める,大きな力が、目に見えない障害によって、少しだけ留められている。時を待つ準備期間。,"小さな蓄積,一時的な停滞",0.5,火沢睽,天澤履,雷山小過,天沢履,雷地豫,巽為風,風火家人,風沢中孚,乾為天
10,天澤履,"上位者との関係,リスク管理,マナー・規範",虎の尾を踏むような危険な状況で、どう振る舞い、災いを避けるか,礼儀を尽くし、慎重に行動し、相手の逆鱗に触れない,虎の尾を踏むような危険な状況。正しい態度と慎重さで災いを避ける。,"礼儀,慎重,危険回避",0.67,風火家人,風天小畜,風沢中孚,風天小畜,地山謙,天水訟,天雷无妄,乾為天,風沢中孚
11,地天泰,"理想的な組織,平和な時代,心身の調和",平和で調和した状態を、いかにして維持し、次の変化に備えるか,慢心せず、常に危機意識を持ち、周囲との交流を続ける,天地の気が交わる、万物が調和した理想的な状態。しかし、その先に変化の兆しあり。,"平和,繁栄,調和",1.17,雷沢帰妹,天地否,天地否,天地否,地風升,地火明夷,地沢臨,雷天大壮,水天需
12,天地否,"組織の機能不全,社会の分断,行き詰まり",天と地が交わらない閉塞状況を、いかにして耐え、打開するか,現実を直視し、内なる力を養い、変革の時を待つ,天地が交わらず、物事が停滞する困難な時期。しかし、その極みに反転の兆しあり。,"閉塞,不調和,停滞",0.17,風山漸,地天泰,地天泰,地天泰,天雷无妄,天水訟,天山遯,風地観,火地晋
13,天火同人,"オープンイノベーション,プロジェクトチーム,NPO",いかにして私心を捨て、志を同じくする者と大同団結するか,公明正大な目的を掲げ、広く門戸を開き、対話で信頼を築く,志を同じくする人々が、私心を捨て、公正な目的のために協力し合う。,"協力,大同団結,公正",0.17,天風姤,火天大有,地水師,火天大有,地水師,風火家人,離為火,天山遯,沢火革
14,火天大有,"絶頂期の企業,成功者,社会貢献(CSR)",大いなる所有物を、いかにして正しく管理し、社会に還元するか,驕らず、謙虚さと公正さを保ち、富と力を広く分配する,繁栄が極まり、その光が広く行き渡る。得た富や力を正しく管理し、社会に還元する。,"大いなる所有,繁栄,公正な分配",1.5,沢天夬,天火同人,水地比,天火同人,水地比,火風鼎,離為火,火沢睽,山天大畜
15,地山謙,"優れたリーダー,謙虚な実力者,名君",優れた能力や地位を持ちながら、いかにして謙虚さを保ち続けるか,驕らず、常に学び続け、他者の意見に耳を傾ける,能力がありながらも、自らへりくだる。その謙虚さが、持続的な成功と信頼をもたらす。,"謙虚,有能,持続",1.5,雷水解,雷地豫,艮為山,雷地豫,天沢履,水山蹇,艮為山,坤為地,雷山小過
16,雷地豫,"イベント,祝賀ムード,エンターテインメント",喜びや安楽の時期に、いかにして油断や慢心を避けるか,楽しみつつも、常に次への準備と危機管理を怠らない,準備が整った上での喜びや安楽。しかし、その楽しみに溺れることへの警告。,"喜び,準備,油断",-0.17,水山蹇,地山謙,震為雷,地山謙,風天小畜,震為雷,雷水解,雷山小過,坤為地
17,沢雷随,"トレンドへの対応,フォロワーシップ,時代の変化",変化の激しい時代に、いかにして賢明に「従い」、適応していくか,流行に盲従せず、本質を見極め、正しい対象に追随する,時代の流れや他者の動きをよく見て、柔軟に対応する。ただし、盲従は危険。,"追随,変化への適応",0,風山漸,山風蠱,雷水解,山風蠱,山風蠱,水雷屯,震為雷,天雷无妄,沢地萃
