strength_name_jp,strength_name_en,domain_jp,essence_jp,contribution_score,light_aspect_keywords,light_aspect_description,shadow_aspect_keywords,shadow_aspect_description
達成欲,Achiever,実行力,目標達成への尽きない意欲,"震(雷): 2.0, 離(火): 0.5, 艮(山): 0.5","生産性, 粘り強さ",目標達成への内発的なドライブが、驚異的な生産性とスタミナとして現れる。,"ワーカホリック, 燃え尽き",「やり遂げること」自体が目的化し、休息を忘れ、心身をすり減らしてしまう。 
アレンジ,Arranger,実行力,複数要素の最適配置,"巽(風): 1.5, 坤(地): 1.0, 兌(沢): 0.5","効率化, 調整力",複雑に絡み合った要素を、チェスの名人のように動かし、最も効率的な配置を見つけ出す。,"過剰な管理, 朝令暮改",状況をコントロールしようとするあまり、過度に干渉したり、頻繁に計画を変更したりする。
信念,Belief,実行力,揺るぎない内なる価値観,"艮(山): 2.5, 乾(天): 0.5","一貫性, 使命感",自らの核となる価値観が羅針盤となり、行動に一貫性と高い目的意識を与える。,"頑固, 非現実的",自分の信条を絶対視するあまり、他者の意見や現実的な制約を受け入れられなくなる。
公平性,Consistency,実行力,平等なルールとシステムの適用,"艮(山): 2.0, 乾(天): 1.0","公正, 予測可能性",一貫したルールをすべての人に平等に適用することで、安定性と予測可能な環境を築く。,"融通が利かない, 官僚的",例外や個別の事情を考慮することができず、規則のために規則を守るようになってしまう。
慎重さ,Deliberative,実行力,リスクの特定と回避,"坎(水): 2.0, 艮(山): 1.0","危機管理, 思慮深さ",あらゆるリスクを事前に洗い出し、慎重に分析することで、大きな過ちを未然に防ぐ。,"決断不能, 悲観主義",リスクを恐れるあまり、決断を下せなくなったり、常に最悪の事態を想定したりする。
規律性,Discipline,実行力,秩序と構造の希求,"艮(山): 2.5, 坤(地): 0.5","正確さ, 計画性",自らの中に秩序あるルーティンを作り出し、正確かつ計画的に物事を遂行する。,"完璧主義, 柔軟性の欠如",計画通りに進まないと強いストレスを感じ、予期せぬ変化に対応することが難しい。
責任感,Responsibility,実行力,やり遂げることへの誠実な誓い,"坤(地): 2.5, 艮(山): 0.5","信頼性, 所有者意識",一度「引き受ける」と決めたことは、それが自分の義務であるかのように最後までやり遂げる。,"過剰な自己犠牲, 断れない",他者からの期待を断れず、自分のキャパシティを超えてまで責任を背負い込んでしまう。
回復志向,Restorative,実行力,問題の発見と修復,"坎(水): 1.5, 震(雷): 1.0, 兌(沢): 0.5","問題解決, 改善",壊れたり、機能不全に陥ったりしている物事の本質的な原因を見抜き、正常な状態に戻す。,"粗探し, ネガティブ思考",常に「問題点」に目が行くため、物事の良い側面を見過ごしたり、批判的になったりする。
集中,Focus,実行力,目標への一点集中,"艮(山): 1.5, 震(雷): 1.5","効率性, 推進力",明確なゴールを設定し、そこに向かって一直線に進むことで、驚くべき効率性を発揮する。,"視野狭窄, 優先順位の誤り",目標に集中するあまり、周囲の状況変化や、より重要なことを見失ってしまうことがある。
活発性,Activator,影響力,アイデアの即時実行,"震(雷): 2.5, 離(火): 0.5","推進力, 起爆剤",「いつか」ではなく「今すぐ」行動することで、議論や計画を具体的なアクションへと変える。,"見切り発車, 無計画",熟考する前に走り出すため、無駄な行動が多くなったり、周囲を混乱させたりすることがある。
