卦番号,卦名,綜卦,錯卦,綜卦との関係性（裏の視点）,錯卦との関係性（対極の世界）,互卦,互卦との関係性,初爻変,初爻変との関係性,二爻変,二爻変との関係性,三爻変,三爻変との関係性,四爻変,四爻変との関係性,五爻変,五爻変との関係性,上爻変,上爻変との関係性,アーキタイプ（原型）,現代解釈の要約,出た時の気持ち,どうすればいい,相談すべき人,,,
1,乾為天,1. 乾為天,2. 坤為地,視点を変えても同じ。絶対的な力は、どこから見ても変わらない。,坤為地（受容）と対。創造する力（乾）は、それを受け止める大地（坤）があって初めて意味を持つ。,1. 乾為天,本卦の内情や隠れた本質を示す互卦も乾為天となります。これは外面の力強さだけでなく、内面や物事のプロセスにおいても一切の陰りや迷いがなく、純粋で剛健なエネルギーが一貫していることを意味します。,44.天風姤,全てが陽である乾の初爻（一番下）が陰に変わることで、完璧な陽の世界に初めて一つの陰が侵入した形となります。これは予期せぬ出会い（邂逅）や小さな問題の発生を象徴し、この最初の変化への対処が全体の動向を左右する重要な分岐点となります。,13.天火同人,中心的な役割を担う二爻が陰に変わることで、広大な天の下に太陽が輝くように、志を同じくする者（同人）が分け隔てなく集い協力する様を表します。公明正大な態度で人と交われば、大きな事業も可能となる協調の時です。,10.天沢履,天と人の境である三爻が陰に変わり、まるで虎の尾を踏むような危険な状況を招くことを暗示します。行動や言動が天の威光に触れ、緊張が走る時です。礼儀作法を固く守り、慎重に行動することでかろうじて難を逃れられます。,9.風天小畜,天の上を風が吹き渡るものの、まだ雨を降らせるほどの力がない状態です。大きな目的を成そうとしても、一つの陰の力に妨げられ物事が少し滞る（小畜）ことを示します。焦らずに力を蓄え、時機を待つべき準備期間です。,14.火天大有,君主の位である五爻が柔和な陰に変わることで、下の全ての陽が喜んで従い、天の中天に太陽が輝く最高の状態となります。富、権力、名声などあらゆるものを「大いに有する」大成功の時であり、謙虚さがおおらかさが天の助けを呼びます。,43.沢天夬,一番上に残った一つの陰（悪弊・小人）を、下から突き上げてきた五つの陽が決然と排除しようとする「決断」の時です。沢が天にまで達し決壊寸前の象徴であり、悪を公にして断固たる処置が必要ですが、強引な手段は自らを危うくする危険もはらんでいます。,"圧倒的リーダー, 創業者, カリスマ",陽のエネルギーが極まり、力強く前進する時。,やる気に満ち溢れ、自信があるが、時に傲慢になったり、孤立感を覚えたりする,独断専行を避け、周囲の意見に耳を傾ける。目的を明確にし、長期的な視点を持つ,優れたサポーター、客観的な視点を持つ参謀、自分を戒めてくれる友人,,,
2,坤為地,2. 坤為地,1. 乾為天,視点を変えても同じ。全てを受け入れる受容性は、どこから見ても揺るがない。,乾為天（創造）と対。受容し育む力は、創造のエネルギーがあって初めて意味を持つ。,2. 坤為地,内も外も全てが陰で構成され、どこまでも純粋な受容性と育成のエネルギーに満ちていることを示します。,24.地雷復,陰が極まり、大地の下から初めて一つの陽が戻ってくる「一陽来復」の形。全ての物事の回復と希望の始まりを象徴します。,7.地水師,広大な大地（坤）の中心に唯一の陽爻が現れ、多くの陰爻（民衆）を率いる将軍の象（師は軍隊）。困難な状況でリーダーシップが求められます。,15.地山謙,地の下に高い山が隠れる形。内に高い能力（山）を秘めながら、外には柔順さ（地）を示す「謙虚」の極致。最高の美徳とされます。,16.雷地豫,地上に春の雷が鳴り響き、万物が活動を始める形。喜び（豫）と楽しみを表しますが、備えや準備を怠ってはならないと戒めます。,8.水地比,地上の水が自然に集まり潤すように、中心の王（五爻）に人々が親しみ、従い、助け合う（比）形。親密な協力関係が鍵となります。,23.山地剥,高い山が根本から剥がれ落ちる寸前の形。一つの陽が多くの陰に侵食され、地位や財産、人間関係などが崩壊する危機を示唆します。,"優れたサポーター, 母, 大地, 縁の下の力持ち",リーダーを支え、物事を育む基盤の役割。,穏やかで、受容的。安心感があるが、時に主体性のなさや、優柔不断さを感じる,自分の意見を明確にしつつ、相手を尊重する。育てる対象や、守るべきものを明確にする,創造的なリーダー、決断力のあるパートナー、自分を導いてくれる師,,,
3,水雷屯,4. 山水蒙,50. 火風鼎,山水蒙（未熟）と対。「産みの苦しみ」の裏には、常に「学びと成長の必要性」がある。,火風鼎（安定）と対。混沌とした始まりの対極には、全てが形をなした安定状態がある。,23.山地剥,内側には山が剥がれ落ちるような崩壊（山地剥）の危険をはらんでいます。物事の始まりの苦しみの中に、深刻な問題が隠れていることを示します。,8.水地比,産みの苦しみ（屯）の始まりですが、人々と親しみ助け合う（比）ことで、最初の困難を乗り越えることができます。,60.水沢節,困難な状況で前に進めない時、水が沢でせき止められるように、今は節度を守り、分相応に振る舞うことが求められます。,63.水火既済,鹿を追って森の奥深くへ入るように、案内役がいても道に迷う危険な状況。一度は整った（既済）ように見えても、深追いは禁物です。,42.風雷益,困難な状況で助けを求めた時、大きな助け（益）が得られる時。積極的に援助を求めることで道が開けます。,24.地雷復,苦しみの中で徳を施しても、その恩恵はまだ小さく限定的です。しかし、陰が極まって陽が復する時であり、希望はあります。,17.沢雷随,困難の極みで身動きが取れず、血の涙を流すほどの苦境。今は無理に行動せず、時を待つしかありません。,"スタートアップ, 新規事業, 人生の転換期",新しい物事が生まれようとする、始まりの困難な時期。,不安と希望が入り混じる。期待感と同時に、産みの苦しみや混乱を感じる,焦らず、まず計画を練り直す。信頼できる協力者や専門家の助けを求める,経験豊富なメンター、同じ苦しみを乗り越えた先輩、信頼できるパートナー,,,
4,山水蒙,3. 水雷屯,49. 沢火革,水雷屯（産みの苦しみ）と対。「未熟で先が見えない」状況は、まさに「産みの苦しみ」そのものである。,沢火革（革命）と対。蒙昧（蒙）を打破するには、古い自分を根本から変える「革命」が必要。,24.地雷復,蒙昧（蒙）で先が見えない状態の内側には、陽が復してくる回復の兆し（地雷復）が隠されています。啓発されれば道は開けます。,41.山沢損,蒙昧な状態を啓発するために、時には厳しい体罰（損）も必要であるという古い教え。教育における厳しさを示唆します。,23.山地剥,無知な子供や盗賊と一緒に行動すると、家を破壊する（山地剥）ような結果を招くという警告。付き合う相手を選ぶ重要性を示します。,18.山風蠱,ただ無知な者を包容するだけでは、物事は腐敗（蠱）してしまう。甘やかすことの弊害を警告します。,59.風水渙,濃い霧（蒙）が風によって吹き払われる（風水渙）ように、蒙昧な状態が解消され、物事が明らかになる時です。,7.地水師,蒙昧な状態を正すためには、軍隊（師）を動かすような厳しい規律とリーダーシップが必要になることを示します。,64.火水未済,蒙昧さを打ち破る攻撃は、相手を完全に打ち負かす（既済）のではなく、将来の禍根を断つ（未済）程度に留めるべきであると示します。,"教育, 人材育成, 新入社員, 学生",未熟な状態から、正しい指導を得て成長する過程。,好奇心と同時に、何が正しいかわからない混乱や、自分の未熟さへの不安を感じる,謙虚に教えを請う。信頼できる情報源や指導者を見極める。基礎から学ぶ,優れた指導者、専門家、誠実な友人,,,
5,水天需,6. 天水訟,38. 火沢睽,天水訟（争い）と対。困難を前に「待つ」ことの裏側には、常に「争い」の危険性が潜んでいる。,火沢睽（対立）と対。好機を待つ協調的な姿勢の対極は、互いに背き合う不和の状態。,38.火沢睽,内側には火と沢が反目し合う「不和（睽）」の状態が隠されています。待つべき時であっても、内情は一致団結していないことを示します。,63.水火既済,郊外で待てば、恒常心を失わない限り災いはない。一度は完成（既済）を見るように、落ち着いて待てば状況は安定します。,60.水沢節,砂地で待つ時。多少の非難はあるが、最終的には吉。沢で水が止まるように、節度を守って待てば良い結果を得られます。,9.風天小畜,泥の中で待てば、敵を招き寄せる。焦って動けば、力が及ばず（小畜）事態は悪化します。,43.沢天夬,酒食の中で待つ時。今は飲食を楽しみながら待つしかないが、いずれ決断（夬）の時が来ます。,11.地天泰,穴蔵で待つ時。招かれざる三人の客が来るが、敬意を払えば吉。苦しい状況でも、泰平（泰）の時が来ることを信じて待つべきです。,48.水風井,穴蔵に入り込んでしまった最悪の状況。助けは来ず、万事休す。井戸に落ちたように、自力での脱出は困難です。,"戦略的待機, 計画準備期間, 嵐の前の静けさ",困難を前に、焦らず、時機が来るのを待つべき時。,忍耐強く、冷静だが、内面では焦りや不安を抱えている。好機を逃すことへの恐れ,ただ待つのではなく、情報収集や自己鍛錬など、今できる準備を進める。感情的にならない,客観的なアドバイザー、戦略家,,,
6,天水訟,5. 水天需,37. 風火家人,水天需（待つ）と対。「争い」が起きている時は、無理に進めず、賢明に「待つ」ことが求められる。,風火家人（家庭の秩序）と対。外部との争いの対極には、内なる秩序と和合がある。,37.風火家人,内側には家庭内の調和（家人）を求める気持ちが隠されています。争い事（訟）の裏には、身近な人々との秩序を回復したい思いがあります。,36.地火明夷,争い事を長引かせるべきではない。早々に引き上げれば吉。深入りすれば、明知が地に隠れる（明夷）ように傷を負います。,10.天沢履,争いに勝てないと悟り、逃げ帰っても三百戸の領民を失うことはない。虎の尾を踏む（履）ような危険を冒すよりはましです。,12.天地否,古い徳を守って静かにしていれば吉。自分の立場を守ることに専念すれば、閉塞（否）した状況でも安泰です。,44.天風姤,争い事をやめて天命に復し、静かにしていれば吉。不意の出会い（姤）のように、新たな展開が訪れる可能性があります。,59.風水渙,争訟に勝ち、大きな帯（官位）を授けられても、一日に三度も奪われる。名誉は水の泡（渙）のように消えやすいことを示します。,47.沢水困,たとえ争訟に勝って官位を得ても、やがては取り上げられる。沢の水が涸れる（困）ように、その栄誉は長続きしません。,"訴訟, 交渉, 派閥争い, ライバル関係",異なる意見や利害が衝突する。冷静な対処と、時には争いを避ける知恵が問われる。,闘争心、緊張感。正義感に燃える一方、感情的になり、疲弊し、孤独を感じやすい,感情的にならず、客観的な事実に基づいて議論する。時には、争いを避ける、あるいは第三者の仲介を求める,公平な第三者、調停者、利害関係のない友人,,,
7,地水師,8. 水地比,13. 天火同人,水地比（親密）と対。「軍隊（師）」という公的な集団の裏には、個人的な親密さがある。,天火同人（大同団結）と対。規律による組織（師）の対極は、共通の理念による協力関係。,24.地雷復,軍隊（師）の内側には、一陽来復のエネルギーが満ちています。大義名分があれば、兵士の士気は高まることを示します。,19.地沢臨,軍隊（師）は規律が第一。規律が乱れれば凶。規律正しい軍隊は、人々が喜んで臨む（臨）ような頼もしさがあります。,2.坤為地,王が三度も功績を称えるが、小人は用いるな。兵を率いる将軍は、母なる大地（坤）のような徳を持つ者がふさわしい。,46.地風升,軍隊が左に陣を敷けば問題ない。退却は昇進（升）への道。時には戦略的撤退も必要です。,40.雷水解,田に獲物がいる。捕らえるのが有利。罪はない。戦場で手柄を立てる好機（解）が到来したことを示します。,29.坎為水,大君に天命あり。国を開き家を継がせるが、小人は用いるな。たとえ困難（坎）な戦でも、大義があれば天は味方します。,4.山水蒙,軍隊を引き上げる時。功績のある大物は賞し、ない者は罰する。恩賞と懲罰を明確にすることが、蒙昧（蒙）な民を導く道です。,"組織運営, プロジェクトチーム, 軍隊",共通の目的のために集団を組織し、統率する。正しい指導力が不可欠。,責任感、使命感。全体を動かす高揚感と同時に、メンバーへの配慮や、規律維持のプレッシャーを感じる,明確な目標とルールを設定する。公平な評価と、適切なコミュニケーションを心がける,信頼できる副官、人事の専門家、組織コンサルタント,,,
8,水地比,7. 地水師,14. 火天大有,地水師（組織）と対。個人的な「親密さ（比）」が行き過ぎると、それを律する「組織（師）」が必要になる。,火天大有（大いなる所有）と対。人々が親しく集まることの対極は、一人のリーダーが全てを所有し、分配する状態。,23.山地剥,親しむ（比）ことの内側には、山が剥げ落ちるような崩壊（山地剥）の危険が隠されています。馴れ合いは組織を腐敗させることを示します。,3.水雷屯,誠実な心で人と親しめば問題ない。誠実さは、産みの苦しみ（屯）を乗り越える力となります。,29.坎為水,内側から誠実な心で人と親しむ時。困難（坎）な状況でも、真心からの交際は道を開きます。,39.水山蹇,外からの人とも誠実に親しむ時。たとえ目の前に険しい山（蹇）があっても、協力者を得て進むことができます。,45.沢地萃,賢明な王は三方向から狩りをさせ、前の獲物は逃がす。人々が集う（萃）時には、寛大な心で臨むべきです。,2.坤為地,王の威光を広く示すように、公明正大に人と親しむべき。その姿は、万物を育む大地（坤）のようです。,20.風地観,指導者としての器がないまま人と親しもうとしても、誰もついてこない。人々をよく観察し（観）、自らを省みるべきです。,"チームビルディング, パートナーシップ, コミュニティ",人々が互いに親しみ、協力し合うことで、大きな力を生み出す。,連帯感、安心感、所属する喜び。しかし、馴れ合いによる緊張感の欠如や、同調圧力を感じることもある,中心となる目的やリーダーを明確にする。誠実でオープンなコミュニケーションを保つ,求心力のあるリーダー、ファシリテーター,,,
9,風天小畜,10. 天澤履,62. 雷山小過,天澤履（慎重）と対。力が「抑制」されている（小畜）からこそ、慎重に事を運ぶ（履）必要がある。,雷山小過（異常事態）と対。小さな抑制（小畜）の対極は、バランスを欠いた大きな異常事態。,38.火沢睽,内側には火と沢が反目し合う不和（睽）の状態をはらんでいます。力が少ししか蓄えられない（小畜）のは、内部の意見対立が原因であることを示唆します。,10.天沢履,自分の本来の道に復帰すれば問題ありません。分不相応なことをせず、自分が踏むべき道（履）に戻ることが賢明です。,16.雷地豫,引かれるようにして元の道に戻るのは吉。無理に進むより、周囲に同調して戻るほうが喜び（豫）につながります。,57.巽為風,夫婦が反目し合うように、内部対立が激化します。車輪が外れて進めないように、物事が停滞し、迷い（巽）が生じます。,37.風火家人,誠実な心があれば、血を流すような危惧は去り、恐れはなくなります。家庭内（家人）のように誠意をもって接すれば、対立は解消されます。,61.風沢中孚,誠実な真心（中孚）で繋がることで、周囲と共に豊かになれます。中心人物の誠意が、組織を一つにまとめます。,1.乾為天,ついに雨が降り、物事が落ち着きます。成果は達成されましたが、これ以上進もうとすれば（乾）、逆に危険です。成果を守るべき時です。,"一時的な停滞, 準備期間, スキルアップ",大きな力が、目に見えない障害によって、少しだけ留められている。時を待つ準備期間。,焦り、もどかしさ。前に進みたいのに進めないフラストレーションを感じる,焦らず、今は力を蓄える時期と割り切る。スキルアップや、内部の結束を固めることに注力する,経験豊富なメンター、精神的な支えとなる友人,,,
10,天澤履,9. 風天小畜,61. 風沢中孚,風天小畜（抑制）と対。「慎重に進む」べき状況の裏には、常に何らかの障害や抑制が潜んでいる。,風沢中孚（真心）と対。外面的な礼儀（履）で危険を回避することの対極は、内面的な真心で心を通わせること。,37.風火家人,内側には風と火が協力し合う家庭（家人）の象があります。危険な道を履む中でも、内部の結束や秩序が支えとなっていることを示します。,9.風天小畜,素直で純朴な行いなら、進んでも問題ありません。しかし、まだ力は小さく（小畜）、大きな成果は望めません。,15.地山謙,目の見えない人がかろうじて見え、足の不自由な人がかろうじて歩ける。謙虚（謙）な姿勢で自分の分を守れば、何とかやっていけます。,6.天水訟,武人が君主になるような、分不相応な行い。強い意志で進んでも、最後は争い事（訟）となり、危険です。,25.天雷无妄,決然と進めば危険が伴います。しかし、それは天の災い（天雷无妄）ではなく、自ら招いたものです。,1.乾為天,これまでの行いを振り返り、その吉凶をよく観察する時。もし完璧（乾）であれば、大いなる吉です。,61.風沢中孚,これまでの行いを振り返り、その吉凶をよく観察する時。誠実な真心（中孚）に満ちていれば、大いなる吉です。,"上位者との関係, リスク管理, マナー・規範",虎の尾を踏むような危険な状況。正しい態度と慎重さで災いを避ける。,緊張感、恐怖心。失敗への恐れ。しかし、それを乗り越えようとする慎重さと責任感も生まれる,礼儀とルールを徹底的に守る。相手への敬意を忘れず、常に慎重に行動する,信頼できる上司、法務・コンプライアンスの専門家,,,
