mbti_type,nickname_jp,group_jp,function_stack,primary_energy,secondary_energy,score_qian,score_dui,score_li,score_zhen,score_xun,score_kan,score_gen,score_kun,description_jp
INTJ,建築家,分析家,Ni-Te-Fi-Se,乾 (天),離 (火),5,3,4,2,1,3,2,1,内的なビジョン（Ni:乾）を、論理的な実行力（Te:乾・震）で実現しようとする。その動機は内なる価値観（Fi:離・兌）にあり、現実への直接的な関与（Se:坤・震）は最も不得手とする、孤高の設計者。
INTP,論理学者,分析家,Ti-Ne-Si-Fe,艮 (山),巽 (風),1,2,2,1,4,3,5,1,内的な論理体系の構築（Ti:艮・坎）を至上とし、その材料として外部の可能性（Ne:巽・離）を取り込む。過去の事実（Si:艮・坤）を参照するが、周囲との感情的な調和（Fe:兌・巽）は盲点となりやすい、純粋な探求者。
ENTJ,指揮官,分析家,Te-Ni-Se-Fi,乾 (天),震 (雷),5,1,2,5,2,2,1,1,外部世界の組織化（Te:乾・震）を最も得意とし、そのための長期的なビジョン（Ni:乾・坎）を持つ。現実を動かす力（Se:坤・震）に優れるが、内なる感情（Fi:離・兌）に目を向けることは少ない、天性の指導者。
ENTP,討論者,分析家,Ne-Ti-Fe-Si,巽 (風),艮 (山),2,3,3,2,5,2,3,1,外部のあらゆる可能性（Ne:巽・離）に惹かれ、それを独自の論理（Ti:艮・坎）で分析・再構築することを楽しむ。人を巻き込む力（Fe:兌・巽）を持つが、地道な事実の積み重ね（Si:艮・坤）は苦手とする、知的な発明家。
INFJ,提唱者,外交官,Ni-Fe-Ti-Se,乾 (天),兌 (沢),4,4,2,1,4,3,2,1,内的な深い洞察（Ni:乾・坎）を、周囲との調和（Fe:兌・巽）を保ちながら実現しようとする。その思考（Ti:艮・坎）は鋭いが、現実世界への直接的な働きかけ（Se:坤・震）にはためらいを感じる、静かなる導き手。
INFP,仲介者,外交官,Fi-Ne-Si-Te,離 (火),兌 (沢),1,5,5,1,4,2,2,1,自らの内なる価値観や真心（Fi:離・兌）を世界の中心に置き、外部の可能性（Ne:巽・離）と結びつけて理想を描く。過去の経験（Si:艮・坤）を大切にするが、物事を効率的に組織化（Te:乾・震）するのは最も苦手な、魂の探求者。
ENFJ,主人公,外交官,Fe-Ni-Se-Fi,兌 (沢),巽 (風),3,5,3,2,5,2,1,1,人々の感情を読み取り、調和した関係を築くこと（Fe:兌・巽）を最も得意とする。その行動は、人々の未来への洞察（Ni:乾・坎）に裏打ちされている。現実を動かす力（Se:坤・震）も持つが、時に内なる声（Fi:離・兌）を犠牲にする、影響力のある教育者。
ENFP,運動家,外交官,Ne-Fi-Te-Si,巽 (風),離 (火),2,4,5,2,5,1,1,1,外部の可能性（Ne:巽・離）に情熱を燃やし、それを自らの価値観（Fi:離・兌）と結びつけて人々に広める。必要とあらば実行力（Te:乾・震）も発揮するが、地道な管理（Si:艮・坤）は好まない、ポジティブな変化の触媒。
ISTJ,管理者,番人,Si-Te-Fi-Ne,艮 (山),坤 (地),3,1,2,2,1,2,5,5,内的に蓄積した正確な事実（Si:艮・坤）に基づき、外部の世界を論理的に組織化（Te:乾・震）する。その行動は内なる価値観（Fi:離・兌）に支えられているが、未知の可能性（Ne:巽・離）には慎重な、社会の礎となる守護者。
ISFJ,擁護者,番人,Si-Fe-Ti-Ne,坤 (地),兌 (沢),1,4,2,1,3,2,4,5,過去の経験（Si:艮・坤）から、人々がどうすれば心地よく過ごせるかを知り、周囲との調和（Fe:兌・巽）のために献身的に働く。内的な論理（Ti:艮・坎）も持つが、未知の可能性（Ne:巽・離）を追求することは稀な、慈愛に満ちた支援者。
ESTJ,幹部,番人,Te-Si-Ne-Fi,震 (雷),乾 (天),4,1,1,5,2,1,3,4,外部世界を効率的に組織化（Te:乾・震）することを第一とし、その判断は信頼できる過去の事実（Si:艮・坤）に基づいている。未来の可能性（Ne:巽・離）も考慮に入れるが、個人の感情（Fi:離・兌）は優先度が低い、現実世界の運営者。
ESFJ,領事,番人,Fe-Si-Ne-Te,兌 (沢),坤 (地),1,5,2,2,4,1,2,4,周囲の人々のニーズを察知し、調和したコミュニティを築くこと（Fe:兌・巽）に喜びを感じる。その行動は、過去の経験（Si:艮・坤）に裏打ちされた常識に基づいている。未来の可能性（Ne:巽・離）も楽しむが、非情な論理（Te:乾・震）は好まない、社交的な世話役。
ISTP,巨匠,探検家,Ti-Se-Ni-Fe,艮 (山),坎 (水),2,2,1,2,2,4,5,3,内的な論理体系（Ti:艮・坎）を用いて、目の前の現実（Se:坤・震）を冷静に分析し、対応する。時折、本質を見抜く洞察（Ni:乾・坎）が働くが、集団の感情的な調和（Fe:兌・巽）には無頓着な、孤高の技術者。
ISFP,冒険家,探検家,Fi-Se-Ni-Te,離 (火),兌 (沢),1,5,5,2,2,2,1,3,自らの内なる感情や美意識（Fi:離・兌）を、「今、ここ」の現実（Se:坤・震）を通して表現する。その芸術活動は、時に深い洞​​察（Ni:乾・坎）を伴うが、外部を組織化する論理（Te:乾・震）は最も遠い、自由な魂を持つ表現者。
ESTP,起業家,探検家,Se-Ti-Fe-Ni,坤 (地),震 (雷),2,3,1,5,2,2,3,5,目の前の現実（Se:坤・震）に即座に反応し、その場で最適な論理（Ti:艮・坎）を組み立てて行動する。人を巻き込む社交性（Fe:兌・巽）も持つが、長期的なビジョン（Ni:乾・坎）を語ることは少ない、スリルを求める実践者。
ESFP,エンターテイナー,探検家,Se-Fi-Te-Ni,坤 (地),離 (火),1,4,5,4,2,1,1,5,「今、ここ」の現実（Se:坤・震）を、自らの感情（Fi:離・兌）を通して最大限に楽しむ。必要であれば論理的に行動（Te:乾・震）もできるが、内的なビジョン（Ni:乾・坎）に目を向けることは稀な、人生の謳歌者。
