爻名,通し番号,卦番号,爻,爻辞,現代解釈の要約,パターンの分類,点数,キーワード,親となる卦,キーワードタグ,S1_基本スコア,S2_ポテンシャル,S3_安定性スコア,S4_リスク,S5_主体性,S6_変動性スコア,S7_総合評価スコア,論理キーワードタグ
乾為天 初九,1,1,初九,潜龍勿用（せんりゅう もちいるなかれ）意味：龍はまだ淵に潜んでいる。軽々しく動くべきではない。,才能や力を秘めているが、まだ時機ではない。軽率な行動を避け、力を蓄え、学ぶべき準備期間。,停滞・中立パターン,0,"待機, 準備",乾為天,"ポテンシャル, 基礎固め, 学習, 待機, 時機尚早, 未熟, 準備, 潜龍",58,50,48,35,受動,52,50,"状況:潜伏期, 状況:黎明期, 力学:協力者なし, アクション:準備, アクション:現状維持"
乾為天 九二,2,1,九二,見龍在田、利見大人（けんりゅう でんにあり、たいじんにあうによろし）意味：龍が地上に現れた。優れた指導者に会うと良い。,才能が認められ始める段階。優れた師や協力者に出会い、教えを乞うことで、道が開ける。,勝ちパターン,1,"成長, 出会い",乾為天,"チャンス到来, 公の場, 出会い, 協力者, 師, 師事, 成長, 見龍, 認められる",75,65,56,35,能動,32,60,"状況:安定期, 状況:組織戦, 力学:協力者なし, アクション:専門家相談"
乾為天 九三,3,1,九三,君子終日乾乾、夕惕若、厲无咎（くんし しゅうじつけんけん、ゆうべにてきじゃくたり、あやうけれどもとがなし）意味：君子は一日中努力し、夜も警戒する。危ういが咎めはない。,重要な立場に進み、多忙を極める。常に努力と警戒を怠らなければ、危険な状況でも乗り越えられる。,停滞・中立パターン,0,"努力, 警戒",乾為天,"リスクあり, 内省, 努力, 危険, 君子, 問題なし, 多忙, 慎重, 警戒, 責任",50,40,32,70,能動,60,24,"状況:移行期, 力学:協力者なし, 心理:警戒"
乾為天 九四,4,1,九四,或躍在淵、无咎（あるいはおどってふちにあり、とがなし）意味：あるいは淵から躍り出ようとする。咎めはない。,天に昇るか、淵に留まるか、飛躍のチャンスを前にした決断の時。慎重に状況を見極めるべき段階。,停滞・中立パターン,0,"決断, 飛躍",乾為天,"タイミング, チャンス, 問題なし, 決断, 淵, 迷い, 飛躍",50,40,40,35,能動,68,42,"状況:変革期, 力学:協力者なし, 心理:慎重"
乾為天 九五,5,1,九五,飛龍在天、利見大人（ひりゅう てんにあり、たいじんにあうによろし）意味：龍が天を飛んでいる。優れた指導者に会うと良い。,才能が完全に開花し、最高の地位でその力を発揮している絶頂期。リーダーシップの極致。,大勝ちパターン,2,"成功, リーダー",乾為天,"リーダー, リーダーシップ, 公明正大, 出会い, 天命, 師事, 影響力, 成功, 絶頂期, 飛龍",100,70,64,35,能動,32,66,"状況:絶頂期, 力学:協力者なし, アクション:専門家相談"
乾為天 上九,6,1,上九,亢龍有悔こうりゅう くいあり）意味：天高く昇りつめた龍は、後悔することになる。,行き過ぎた力や地位。傲慢になり、下ることを知らないため、やがて孤立し、失敗や後悔を招く。,やや破滅パターン,-1,"慢心, 衰退",乾為天,"亢龍, 傲慢, 引き際, 後悔, 慢心, 行き過ぎ, 衰退, 頂点のリスク",25,50,24,65,能動,56,26,"状況:終極期, 状況:衰退期, 力学:協力者なし, 心理:内省"
乾為天 用九,7,1,用九,見群龍无首、吉（ぐんりゅうをみるに、くびなし、きち）意味：多くの龍が現れるが、頭を立てない。吉。,多くの有能な者が、特定のリーダーに依存せず、それぞれが自律的に協力し合う、理想的な組織の状態。,大勝ちパターン,2,"協力, 自律",乾為天,"協力, 吉, 自律",50,25,40,25,中立,40,40,
坤為地 初六,8,2,初六,履霜堅氷至 （りそうけんひょういたる） 意味：霜を踏む。堅い氷がやってくる。,小さな兆候から将来の大きな困難を予見し、備えるべき時期。問題の芽を見過ごすと、後に大きな災いとなるという警告。,やや破滅パターン,-1,"予兆, 警戒, 準備",坤為地,"予兆, 初霜, 始まりの注意, 慎重, 準備, 警戒",33,25,40,35,受動,52,36,"状況:困窮状態, 状況:黎明期, 力学:協力者なし"
坤為地 六二,9,2,六二,直方大、不習无不利 （ちょくほうだい、ならわずしてふりなきなし） 意味：素直で、まっすぐで、大きい。慣れなくても利益にならないことはない。,誠実、正直、公平という基本原則を貫く時。その普遍的な徳により、どんな状況でも自然と良い結果に繋がる、非常に安定した状態。,大勝ちパターン,2,"誠実, 公正, 安定",坤為地,"公正, 受容性, 大地の徳, 安定, 無私, 自然体, 誠実",100,50,64,35,受動,32,58,"状況:安定期, 力学:協力者なし"
坤為地 六三,10,2,六三,含章可貞、或従王事、无成有終 （しょうをふくみ、ていなるべし。あるいは王事に従い、なすことなくしておわりあり） 意味：才能を内に秘め、王の事業に従っても、手柄を立てなくても最終的には良い結果となる。,優れた能力をひけらかさず、縁の下の力持ちとして貢献する。個人の功績よりも組織全体の成功を優先する、控えめだが重要な役割。,停滞・中立パターン,0,"謙虚, 貢献, 補佐",坤為地,"内面の美徳, 才能を隠す, 時期を待つ, 補佐, 謙虚, 貢献",42,25,24,55,受動,48,20,"状況:移行期, 力学:協力者なし, 心理:正道堅持"
坤為地 六四,11,2,六四,括嚢、无咎无誉 （かつのう、むきゅうむよ） 意味：袋の口を縛る。咎められることも誉められることもない。,不安定な時期や複雑な状況で、安易な発言や行動を控え、戦略的に沈黙を守る。リスクを回避するための自己保全の時。,停滞・中立パターン,0,"静観, 自己防衛, 沈黙",坤為地,"口を閉ざす, 問題なし, 安全第一, 沈黙, 自己防衛, 隠遁, 静観",58,25,48,35,受動,56,40,"状況:変革期, 力学:協力者なし"
