ID,データ種別,親ID,項目名,関連する共通キーワード
concept_01,共通キーワード,-,戦略・計画,物事を体系的に考え、目標達成までの道筋を立てる力。
concept_02,共通キーワード,-,分析・探求,物事の本質や構造を深く掘り下げ、知的な好奇心を満たす性質。
concept_03,共通キーワード,-,先見・大局観,未来を予測し、物事の全体像を捉える広い視野。
concept_04,共通キーワード,-,創造・革新,新しいアイデアや価値を生み出し、変革をもたらす力。
concept_05,共通キーワード,-,実行・達成,目標に向かって力強く行動し、具体的な結果を出す力。
concept_06,共通キーワード,-,リーダーシップ,人々を導き、方向性を示し、影響を与える力。
concept_07,共通キーワード,-,挑戦・困難,困難な状況に立ち向かい、リスクを恐れず挑戦する姿勢。
concept_08,共通キーワード,-,育成・支援,他者の成長を助け、サポートし、育む性質。
concept_09,共通キーワード,-,調和・平和,対立を避け、穏やかで安定した関係性を重んじる性質。
concept_10,共通キーワード,-,共感・受容,他者の感情や立場を理解し、受け入れる力。
concept_11,共通キーワード,-,感情・情熱,自身の内なる感情や強い想いを原動力とする性質。
concept_12,共通キーワード,-,表現・伝達,自分の考えや感情を外部に示し、他者に伝える力。
concept_13,共通キーワード,-,内省・静観,自己の内面と向き合い、静かに物事を観察・思索する状態。
concept_14,共通キーワード,-,持続・安定,物事を根気強く続け、一貫性を保ち、安定させる力。
concept_15,共通キーワード,-,成長・発展,状況が好転し、勢いを増して伸びていくプロセス。
concept_16,共通キーワード,-,正義・改善,正しさや理想を追求し、物事をより良い状態にしようとする意志。
concept_17,共通キーワード,-,困難・停滞,物事がうまく進まず、試練や障害に直面している状態。
concept_18,共通キーワード,-,本質・真実,物事の根源にある、飾りのない中心的な価値。
concept_19,共通キーワード,-,構造化・秩序,物事を整理し、ルールや体系を作り上げ、安定した形にする力。
concept_20,共通キーワード,-,社交性・人脈,他者と積極的に関わり、ネットワークを広げ、関係性を築く性質。
concept_21,共通キーワード,-,奉仕・貢献,他者や社会のために力を尽くし、全体の利益のために行動する意志。
concept_22,共通キーワード,-,知性・学習,知識を吸収し、学び、知的な探求そのものを楽しむ性質。
concept_23,共通キーワード,-,美的感覚・洗練,美しさ、調和、芸術性を感じ取り、物事を洗練させていく感性。
concept_24,共通キーワード,-,葛藤・矛盾,内面的な対立や、他者との意見の不一致など、相容れない要素がぶつかる状態。
concept_25,共通キーワード,-,始動・萌芽,物事が始まる瞬間や、新しい可能性が芽生える段階。
concept_26,共通キーワード,-,完成・集大成,物事が一つの形として結実し、頂点や終わりに達した状態。
concept_27,共通キーワード,-,循環・継続,途切れず続くこと。リズムやパターンが繰り返される性質。
concept_28,共通キーワード,-,変動・転換,状況が不安定に変化したり、大きな転換点を迎えたりする状態。
concept_29,共通キーワード,-,直感・感性,論理を超えたひらめきや、言葉にならない感覚、五感で物事を捉える力。
concept_30,共通キーワード,-,受動・待機,積極的に行動するのではなく、流れに身を任せたり、静かに機会を待ったりする姿勢。
concept_31,共通キーワード,-,自己変容・脱皮,自分自身が内面的に大きく変化し、古い自分を脱ぎ捨てて新しい段階へ進むこと。
concept_32,共通キーワード,-,権威・支配,他者や物事を直接的にコントロールし、強い影響力を行使する力。命令や統率。
concept_33,共通キーワード,-,追従・服従,リーダーや上位者の意思決定に従い、サポートし、忠実に実行する姿勢。
concept_34,共通キーワード,-,交渉・取引,戦略的な対話を通じて、利害を調整し、互いの合意点を見出すプロセス。
concept_35,共通キーワード,-,富・豊かさ,物質的・精神的な豊かさ、潤沢なリソース、有り余るほどの状態。
concept_36,共通キーワード,-,損失・浪費,リソースが失われること、浪費、物事が減少していく状態。
concept_37,共通キーワード,-,分配・贈与,リソースを分け与えること、他者への貢献、公正な配分。
concept_38,共通キーワード,-,父性・厳格,家族や組織に規律や構造をもたらす、厳格で指導的な性質。父の元型。
concept_39,共通キーワード,-,母性・慈愛,全てを包み込み、育み、無条件の愛情を注ぐ性質。母の元型。
concept_40,共通キーワード,-,家族・家庭,家庭という単位、その内部の力学や役割分担、帰属意識。
concept_41,共通キーワード,-,特殊・異端,一般的な規範や常識からは外れている、ユニークで特殊な在り方。孤高。
concept_42,共通キーワード,-,秘密・潜在,表面には見えない、隠された事情や可能性。内に秘めた力。
concept_43,共通キーワード,-,放浪・自由,定められた場所に留まらず、制約なく自由に行動し、探求する生き方。
concept_44,共通キーワード,-,依存・付着,何かに頼り、付着することで成り立つ状態。知性や美が他者に依存する側面。
sf_01,SF,-,戦略性,"戦略・計画,先見・大局観,分析・探求"
sf_02,SF,-,達成欲,"実行・達成,持続・安定,情熱・感情"
sf_03,SF,-,着想,"創造・革新,分析・探求,特殊・異端"
sf_04,SF,-,共感性,"共感・受容,感情・情熱"
sf_05,SF,-,調和性,"調和・平和,共感・受容"
sf_06,SF,-,内省,"内省・静観,分析・探求"
sf_07,SF,-,未来志向,"先見・大局観,創造・革新,情熱・感情"
sf_08,SF,-,責任感,"実行・達成,正義・改善,持続・安定,父性・厳格"
sf_09,SF,-,回復志向,"困難・停滞,正義・改善,分析・探求,損失・浪費"
sf_10,SF,-,運命思考,"本質・真実,共感・受容,先見・大局観,直感・感性"
sf_11,SF,-,分析思考,"分析・探求,本質・真実"
sf_12,SF,-,公平性,"正義・改善,持続・安定,調和・平和"
sf_13,SF,-,慎重さ,"内省・静観,戦略・計画,困難・停滞,構造化・秩序"
sf_14,SF,-,コミュニケーション,"表現・伝達,リーダーシップ,共感・受容"
sf_15,SF,-,社交性,"社交性・人脈,表現・伝達,挑戦・困難"
sf_16,SF,-,包含,"共感・受容,奉仕・貢献,調和・平和,母性・慈愛"
